Trigger,TP,FP
0.0,1.0,1.0
0.010101010101010102,0.5,0.495
0.020202020202020204,0.33,0.31333333333333335
0.030303030303030304,0.2475,0.2325
0.04040404040404041,0.196,0.172
0.05050505050505051,0.16166666666666665,0.13666666666666666
0.06060606060606061,0.13857142857142857,0.11285714285714285
0.07070707070707072,0.12125,0.09375
0.08080808080808081,0.10777777777777778,0.07777777777777778
0.09090909090909091,0.097,0.068
0.10101010101010102,0.08818181818181818,0.05818181818181818
0.11111111111111112,0.08083333333333333,0.051666666666666666
0.12121212121212122,0.07461538461538461,0.04692307692307692
0.13131313131313133,0.06857142857142857,0.04285714285714286
0.14141414141414144,0.06333333333333334,0.03866666666666667
0.15151515151515152,0.059375,0.03375
0.16161616161616163,0.05588235294117647,0.031176470588235295
0.17171717171717174,0.05277777777777778,0.029444444444444443
0.18181818181818182,0.05,0.026842105263157896
0.19191919191919193,0.047,0.0245
0.20202020202020204,0.04476190476190476,0.022857142857142857
0.21212121212121213,0.042727272727272725,0.021363636363636362
0.22222222222222224,0.0408695652173913,0.02
0.23232323232323235,0.03916666666666667,0.019166666666666665
0.24242424242424243,0.0376,0.0176
0.25252525252525254,0.036153846153846154,0.01653846153846154
0.26262626262626265,0.03481481481481481,0.015555555555555555
0.27272727272727276,0.03357142857142857,0.014285714285714285
0.2828282828282829,0.032413793103448274,0.013448275862068966
0.29292929292929293,0.03133333333333333,0.012666666666666666
0.30303030303030304,0.03032258064516129,0.012258064516129033
0.31313131313131315,0.0290625,0.011875
0.32323232323232326,0.028181818181818183,0.011515151515151515
0.33333333333333337,0.027352941176470587,0.011176470588235295
0.3434343434343435,0.026571428571428572,0.010857142857142857
0.3535353535353536,0.025555555555555557,0.010277777777777778
0.36363636363636365,0.024864864864864864,0.00972972972972973
0.37373737373737376,0.024210526315789474,0.009473684210526316
0.38383838383838387,0.02358974358974359,0.009230769230769232
0.393939393939394,0.023,0.009
0.4040404040404041,0.0224390243902439,0.00853658536585366
0.4141414141414142,0.021904761904761906,0.008333333333333333
0.42424242424242425,0.021395348837209303,0.00813953488372093
0.43434343434343436,0.020681818181818183,0.007727272727272728
0.4444444444444445,0.02022222222222222,0.007555555555555556
0.4545454545454546,0.019782608695652175,0.007391304347826087
0.4646464646464647,0.019148936170212766,0.007021276595744681
0.4747474747474748,0.01875,0.006666666666666667
0.48484848484848486,0.018163265306122448,0.006326530612244898
0.494949494949495,0.0178,0.0056
0.5050505050505051,0.017450980392156864,0.005294117647058823
0.5151515151515152,0.017115384615384616,0.005192307692307692
0.5252525252525253,0.01660377358490566,0.004905660377358491
0.5353535353535354,0.016296296296296295,0.004629629629629629
0.5454545454545455,0.016,0.004363636363636364
0.5555555555555556,0.015714285714285715,0.004107142857142857
0.5656565656565657,0.015438596491228071,0.0038596491228070177
0.5757575757575758,0.015,0.003793103448275862
0.5858585858585859,0.014745762711864407,0.003728813559322034
0.595959595959596,0.0145,0.0036666666666666666
0.6060606060606061,0.014262295081967214,0.0036065573770491803
0.6161616161616162,0.014032258064516129,0.0032258064516129032
0.6262626262626263,0.01380952380952381,0.0031746031746031746
0.6363636363636365,0.01359375,0.00296875
0.6464646464646465,0.013384615384615385,0.002923076923076923
0.6565656565656566,0.013181818181818182,0.0028787878787878787
0.6666666666666667,0.012985074626865671,0.002537313432835821
0.6767676767676768,0.012205882352941176,0.0025
0.686868686868687,0.011739130434782608,0.002318840579710145
0.696969696969697,0.011571428571428571,0.002142857142857143
0.7070707070707072,0.010845070422535212,0.002112676056338028
0.7171717171717172,0.010694444444444444,0.0019444444444444444
0.7272727272727273,0.010410958904109589,0.0016438356164383563
0.7373737373737375,0.010135135135135136,0.0016216216216216215
0.7474747474747475,0.009866666666666666,0.0014666666666666667
0.7575757575757577,0.009605263157894737,0.0014473684210526317
0.7676767676767677,0.008961038961038961,0.0014285714285714286
0.7777777777777778,0.008333333333333333,0.001282051282051282
0.787878787878788,0.008227848101265823,0.001139240506329114
0.797979797979798,0.00725,0.001125
0.8080808080808082,0.006666666666666667,0.0009876543209876543
0.8181818181818182,0.006341463414634147,0.000975609756097561
0.8282828282828284,0.0061445783132530124,0.0009638554216867469
0.8383838383838385,0.005833333333333334,0.0008333333333333334
0.8484848484848485,0.005294117647058823,0.0007058823529411765
0.8585858585858587,0.005,0.00046511627906976747
0.8686868686868687,0.004827586206896552,0.00022988505747126436
0.8787878787878789,0.004318181818181818,0.00022727272727272727
0.888888888888889,0.003820224719101124,0.00011235955056179776
0.8989898989898991,0.0033333333333333335,0.00011111111111111112
0.9090909090909092,0.003076923076923077,0.00010989010989010989
0.9191919191919192,0.0026086956521739132,0.00010869565217391305
0.9292929292929294,0.002150537634408602,0.0
0.9393939393939394,0.002021276595744681,0.0
0.9494949494949496,0.001894736842105263,0.0
0.9595959595959597,0.0014583333333333334,0.0
0.9696969696969697,0.0009278350515463917,0.0
0.9797979797979799,0.0007142857142857143,0.0
0.98989898989899,0.00010101010101010101,0.0
1.0,0.0,0.0
